X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"784160434",way,18.75,doctors,,Poste de Santé de Zabo,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Zabo,88789830,3,2020/07/31 15:40:17+00,f790878357ae4d06b70462560a48c638
17.3029101173558,6.75251949322259,"2590317890",node,18.75,hospital,,Poste de Santé de Bokini,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Bokini,141327887,6,2023/09/16 06:22:04+00,a0dde71d9f534e64a60b2bc94332deab
,,"680531962",way,12.5,hospital,hospital,Hopitale Prefectoral de Mbaiki,,,,,,,,,,,,,,,,,,,,,,,,137653706,3,2023/06/22 15:57:29+00,f4f5df38eee84c98be99921ecf010434
18.603553753576,4.37643845253368,"4637264310",node,9.375,clinic,,CS Ngaragba,,,,,,,,,,,,,,,,,,,,,,,,47159838,2,2017/03/25 18:41:43+00,bf4f081c21024a5899604b79cdc5c68f
,,"261559272",way,18.75,doctors,,Poste de Santé Kounang,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Kounang,88789830,4,2020/07/31 15:40:17+00,8db53b9ca3864499897b515488487ef8
,,"339656897",way,21.875,hospital,hospital,Poste de Santé de Ndoumbou,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Ndoumbou,141327887,6,2023/09/16 06:22:04+00,0ed977c4ca7540d1b8b93c491032252c
22.7740619623119,5.0992244638783,"3554954223",node,9.375,hospital,,Centre de Sante Banabongo Pk50 Bssou,,,,,,,,,,,,,,,,,,,,,,,,32930883,3,2015/07/28 12:20:42+00,63dc00d73ac8401ea9885e937b56ef2b
,,"784201280",way,18.75,doctors,,Poste de Santé de Bang,,"bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Bang,88789830,3,2020/07/31 15:40:17+00,86880328fc6e40a59b7da5ca8fa27c15
16.5003159825826,7.46107906794887,"2671538082",node,18.75,hospital,,Poste de Santé de Bédaya,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Bédaya,28548494,2,2015/02/01 16:17:33+00,047d40acd1e74b2f83e1bb4ebfa38e19
,,"542100681",way,21.875,hospital,hospital,Centre de Santé de Ngakobo,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Ngakobo,120297393,7,2022/04/28 10:02:51+00,fd2a15b376f546a698c61b2fcead661d
,,"261559263",way,18.75,doctors,,Poste de Santé de Mbereguili,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Mbereguili,88789830,6,2020/07/31 15:40:17+00,eaed1cf819634af3a9fd5b9f6130aeaa
,,"477563109",way,12.5,hospital,hospital,CDS Vougba,,,,,,,,,,,,,,,,,,,,,,,,83818377,3,2020/04/20 11:27:05+00,e124d453eb784bb18ce946299fa18e53
16.5594650616213,7.59089865485254,"2441469955",node,15.625,hospital,,Hôpital de Bétoko,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,,141896988,4,2023/09/29 06:33:41+00,7ba0939959e14592a28ea90f9bb60afe
,,"460251247",way,21.875,doctors,doctor,Centre de Santé de Tapourou,,"Digital Globe Maps API;UNICEF",,government,,,,,,,,,,,,,,,,,,,Tapourou,134614861,4,2023/04/07 12:54:12+00,08c81fa3b6c544048eb7868a559f0d8f
16.174299930811,5.94418995738391,"2670844327",node,18.75,doctors,,Poste de Santé de Bogali 2,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Bogali 2,88789830,2,2020/07/31 15:40:17+00,876998367e7b432998e830f705e06556
,,"391993097",way,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,36645128,2,2016/01/17 23:17:38+00,60eb3ae39c8d424390a06961e4f4d467
,,"253091444",way,21.875,hospital,hospital,Poste de Santé de Ngrevaï,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Ngrevaï,141327887,6,2023/09/16 06:22:04+00,af0d531757b447bd8a3ea60e46b1ec8c
,,"278033382",way,21.875,hospital,hospital,Kella Moelle,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Kella Moelle,84182808,3,2020/04/27 08:25:59+00,8d5f5819a9fa4a4c93da6779031dba1f
,,"253051216",way,21.875,hospital,hospital,Poste de Santé de Kakouda,,"Bing;UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Kakouda,141327887,6,2023/09/16 06:22:04+00,7549fad8f05b4ade87a237941bc8b848
17.6363342627901,5.26345176330921,"8483585633",node,12.5,hospital,,Hopital de District Bossembélé,,MSFsurvey,,,,,,,,,,,,,,,,,,,,,,100368348,1,2021/03/03 18:02:39+00,f7919a0feca7445392b0241f4b380437
,,"261009898",way,21.875,hospital,hospital,Poste de Santé de Ouza,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Ouza,84209828,3,2020/04/27 16:18:11+00,40384382e1db434c9b69d1422e84b8d6
14.8433999710673,5.80314993579705,"2663468488",node,18.75,doctors,,Centre de Santé du peuple,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Baboua,88789830,2,2020/07/31 15:40:17+00,a22e0967238c4cccbda3cd160bbd7678
,,"772696199",way,21.875,hospital,hospital,Poste de Santé de Ndow-Kota,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Ndow-Kota,84320144,3,2020/04/29 08:19:15+00,54e801a1ac214cedbaed7a17dfb2d6e6
,,"481686480",way,21.875,hospital,hospital,Hôpital Régional de Berbérati,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Berbérati,134614171,4,2023/04/07 12:37:55+00,e754174062f14b42b74f183e7b8290ff
18.610312668838,4.37246048510656,"4637264309",node,9.375,clinic,,Dispensaire St Paul,,,,,,,,,,,,,,,,,,,,,,,,47024115,2,2017/03/20 21:06:09+00,711b1df73eeb4bfd91ebee14da93c5bf
